pickup_zip,dropoff_zip,distance_miles
87113,11572,1827.0
11572,41222,532.1
41222,11572,532.1
11572,32948,972.4
32948,11572,972.4
11572,71286,1119.0
71286,11572,1119.0
11572,67751,1418.7
67751,11572,1418.7
11572,04956,339.3
04956,11572,339.3
11572,04668,435.6
04668,11572,435.6
11572,29714,570.4
29714,11572,570.4
11572,70516,1263.9
70516,11572,1263.9
11572,28027,526.2
28027,11572,526.2
11572,81073,1572.9
81073,11572,1572.9
11572,46501,660.7
46501,11572,660.7
11572,70114,1180.8
70114,11572,1180.8
11572,11003,6.1
11003,11572,6.1
11572,68130,1178.0
68130,11572,1178.0
11572,59642,1888.9
59642,11572,1888.9
11572,80468,1707.1
80468,11572,1707.1
11572,43346,536.6
43346,11572,536.6
11572,41567,510.4
41567,11572,510.4
11572,50665,998.0
50665,11572,998.0
11572,20716,201.7
20716,11572,201.7
11572,25981,417.1
25981,11572,417.1
11572,78739,1539.8
78739,11572,1539.8
11572,61845,776.9
61845,11572,776.9
11572,86314,2145.3
86314,11572,2145.3
11572,28538,418.5
28538,11572,418.5
11572,68071,1187.6
68071,11572,1187.6
11572,45836,525.2
45836,11572,525.2
11572,11369,15.3
11369,11572,15.3
11572,97703,2428.2
97703,11572,2428.2
11572,01606,150.3
01606,11572,150.3
11572,50585,1118.9
50585,11572,1118.9
11572,04924,353.8
04924,11572,353.8
11572,63108,895.5
63108,11572,895.5
11572,13111,237.6
13111,11572,237.6
11572,49441,674.2
49441,11572,674.2
11572,67059,1378.3
67059,11572,1378.3
11572,14860,214.0
14860,11572,214.0
11572,31743,834.0
31743,11572,834.0
11572,16735,278.5
16735,11572,278.5
11572,90278,2482.3
90278,11572,2482.3
11572,50111,1051.8
50111,11572,1051.8
11572,27803,399.0
27803,11572,399.0
11572,71048,1190.7
71048,11572,1190.7
11572,62221,879.2
62221,11572,879.2
11572,55769,1078.0
55769,11572,1078.0
11572,25420,253.0
25420,11572,253.0
11572,92394,2410.0
92394,11572,2410.0
11572,48861,600.8
48861,11572,600.8
11572,70757,1228.3
70757,11572,1228.3
11572,74855,1312.2
74855,11572,1312.2
11572,77514,1401.7
77514,11572,1401.7
11572,51537,1129.1
51537,11572,1129.1
11572,76226,1397.9
76226,11572,1397.9
11572,49106,677.6
49106,11572,677.6
11572,31909,838.3
31909,11572,838.3
11572,29560,576.9
29560,11572,576.9
11572,22207,220.5
22207,11572,220.5
11572,52555,1005.9
52555,11572,1005.9
11572,53952,845.9
53952,11572,845.9
33101,33433,39.1
33433,33101,39.1
33101,60614,1191.1
60614,33101,1191.1
33101,75201,1110.7
75201,33101,1110.7
33101,90210,2348.6
90210,33101,2348.6
33101,90280,2335.2
90280,33101,2335.2
33101,26384,909.7
26384,33101,909.7
33101,71935,1003.8
71935,33101,1003.8
33101,44706,1034.4
44706,33101,1034.4
33101,32063,330.7
32063,33101,330.7
33101,60187,1197.6
60187,33101,1197.6
33101,83465,2276.8
83465,33101,2276.8
33101,32258,311.3
32258,33101,311.3
33101,53022,1283.4
53022,33101,1283.4
33101,58654,1942.9
58654,33101,1942.9
33101,47120,940.9
47120,33101,940.9
33101,68715,1492.9
68715,33101,1492.9
33101,36049,553.1
36049,33101,553.1
33101,52325,1278.7
52325,33101,1278.7
